date,interval,queue,offered_calls,answered_calls,abandoned_calls
2024-01-02,18:30,Support,35,34,1
2024-01-02,18:30,Retention,17,16,1
2024-01-02,19:00,Support,37,35,2
2024-01-02,19:00,Retention,20,19,1
2024-01-02,19:30,Support,38,37,1
2024-01-02,19:30,Retention,20,19,1
2024-01-02,20:00,Support,47,45,2
2024-01-02,20:00,Retention,20,19,1
2024-01-02,20:30,Support,47,43,4
2024-01-02,20:30,Retention,25,25,0
2024-01-03,8:00,Support,26,26,0
2024-01-03,8:00,Retention,20,19,1
2024-01-03,8:30,Support,42,39,3
2024-01-03,8:30,Retention,15,14,1
2024-01-03,9:00,Support,37,34,3
2024-01-03,9:00,Retention,22,22,0
2024-01-03,9:30,Support,33,32,1
2024-01-03,9:30,Retention,17,16,1
2024-01-03,10:00,Support,35,34,1
2024-01-03,10:00,Retention,24,24,0
2024-01-03,10:30,Support,44,42,2
2024-01-03,10:30,Retention,19,18,1
2024-01-03,11:00,Support,31,29,2
2024-01-03,11:00,Retention,21,20,1
2024-01-03,11:30,Support,25,25,0
2024-01-03,11:30,Retention,19,18,1
2024-01-03,12:00,Support,32,31,1
2024-01-03,12:00,Retention,21,21,0
2024-01-03,12:30,Support,25,25,0
2024-01-03,12:30,Retention,11,10,1
2024-01-03,13:00,Support,33,31,2
2024-01-03,13:00,Retention,21,21,0
2024-01-03,13:30,Support,40,38,2
2024-01-03,13:30,Retention,25,24,1
2024-01-03,14:00,Support,23,23,0
2024-01-03,14:00,Retention,20,19,1
2024-01-03,14:30,Support,50,48,2
2024-01-03,14:30,Retention,24,22,2
2024-01-03,15:00,Support,24,22,2
2024-01-03,15:00,Retention,18,17,1
2024-01-03,15:30,Support,34,32,2
2024-01-03,15:30,Retention,24,23,1
2024-01-03,16:00,Support,34,33,1
2024-01-03,16:00,Retention,14,14,0
2024-01-03,16:30,Support,36,33,3
2024-01-03,16:30,Retention,18,17,1
2024-01-03,17:00,Support,38,35,3
2024-01-03,17:00,Retention,21,20,1
2024-01-03,17:30,Support,46,45,1
2024-01-03,17:30,Retention,13,13,0
2024-01-03,18:00,Support,42,40,2
2024-01-03,18:00,Retention,15,14,1
2024-01-03,18:30,Support,42,40,2
2024-01-03,18:30,Retention,19,18,1
2024-01-03,19:00,Support,37,36,1
2024-01-03,19:00,Retention,20,19,1
2024-01-03,19:30,Support,35,33,2
2024-01-03,19:30,Retention,19,18,1
2024-01-03,20:00,Support,27,25,2
2024-01-03,20:00,Retention,19,19,0
2024-01-03,20:30,Support,27,26,1
2024-01-03,20:30,Retention,19,18,1
2024-01-04,8:00,Support,44,42,2
2024-01-04,8:00,Retention,22,21,1
2024-01-04,8:30,Support,35,33,2
2024-01-04,8:30,Retention,16,16,0
2024-01-04,9:00,Support,24,24,0
2024-01-04,9:00,Retention,13,13,0
2024-01-04,9:30,Support,29,27,2
2024-01-04,9:30,Retention,18,18,0
2024-01-04,10:00,Support,29,28,1
2024-01-04,10:00,Retention,15,15,0
2024-01-04,10:30,Support,27,26,1
2024-01-04,10:30,Retention,16,15,1
2024-01-04,11:00,Support,37,34,3
2024-01-04,11:00,Retention,25,24,1
2024-01-04,11:30,Support,41,40,1
2024-01-04,11:30,Retention,14,14,0
2024-01-04,12:00,Support,37,35,2
2024-01-04,12:00,Retention,21,20,1
2024-01-04,12:30,Support,35,34,1
2024-01-04,12:30,Retention,17,17,0
2024-01-04,13:00,Support,31,31,0
2024-01-04,13:00,Retention,16,16,0
2024-01-04,13:30,Support,27,26,1
2024-01-04,13:30,Retention,20,19,1
2024-01-04,14:00,Support,25,24,1
2024-01-04,14:00,Retention,21,21,0
2024-01-04,14:30,Support,31,29,2
2024-01-04,14:30,Retention,19,18,1
2024-01-04,15:00,Support,37,36,1
2024-01-04,15:00,Retention,13,13,0
2024-01-04,15:30,Support,29,28,1
2024-01-04,15:30,Retention,24,23,1
2024-01-04,16:00,Support,26,24,2
2024-01-04,16:00,Retention,23,22,1
2024-01-04,16:30,Support,28,26,2
2024-01-04,16:30,Retention,19,19,0
2024-01-04,17:00,Support,40,38,2
2024-01-04,17:00,Retention,17,17,0
2024-01-04,17:30,Support,27,26,1
2024-01-04,17:30,Retention,19,18,1
2024-01-04,18:00,Support,35,34,1
2024-01-04,18:00,Retention,12,11,1
2024-01-04,18:30,Support,32,31,1
2024-01-04,18:30,Retention,20,19,1
2024-01-04,19:00,Support,34,33,1
2024-01-04,19:00,Retention,29,27,2
2024-01-04,19:30,Support,47,46,1
2024-01-04,19:30,Retention,21,20,1
2024-01-04,20:00,Support,29,28,1
2024-01-04,20:00,Retention,22,21,1
2024-01-04,20:30,Support,32,31,1
2024-01-04,20:30,Retention,22,21,1
2024-01-05,8:00,Support,34,32,2
2024-01-05,8:00,Retention,18,17,1
2024-01-05,8:30,Support,33,30,3
2024-01-05,8:30,Retention,20,19,1
2024-01-05,9:00,Support,37,36,1
2024-01-05,9:00,Retention,22,21,1
2024-01-05,9:30,Support,28,27,1
2024-01-05,9:30,Retention,21,20,1
2024-01-05,10:00,Support,32,31,1
2024-01-05,10:00,Retention,23,22,1
2024-01-05,10:30,Support,41,40,1
2024-01-05,10:30,Retention,21,20,1
2024-01-05,11:00,Support,38,37,1
2024-01-05,11:00,Retention,16,15,1
2024-01-05,11:30,Support,36,34,2
2024-01-05,11:30,Retention,27,26,1
2024-01-05,12:00,Support,35,34,1
2024-01-05,12:00,Retention,19,18,1
2024-01-05,12:30,Support,39,37,2
2024-01-05,12:30,Retention,19,18,1
2024-01-05,13:00,Support,46,44,2
2024-01-05,13:00,Retention,23,21,2
2024-01-05,13:30,Support,43,40,3
2024-01-05,13:30,Retention,17,17,0
2024-01-05,14:00,Support,41,39,2
2024-01-05,14:00,Retention,17,16,1
2024-01-05,14:30,Support,32,30,2
2024-01-05,14:30,Retention,17,16,1
2024-01-05,15:00,Support,28,27,1
2024-01-05,15:00,Retention,17,17,0
2024-01-05,15:30,Support,36,35,1
2024-01-05,15:30,Retention,20,19,1
2024-01-05,16:00,Support,28,27,1
2024-01-05,16:00,Retention,19,18,1
2024-01-05,16:30,Support,29,29,0
2024-01-05,16:30,Retention,18,18,0
2024-01-05,17:00,Support,40,38,2
2024-01-05,17:00,Retention,17,16,1
2024-01-05,17:30,Support,28,26,2
2024-01-05,17:30,Retention,27,26,1
2024-01-05,18:00,Support,37,36,1
2024-01-05,18:00,Retention,13,13,0
2024-01-05,18:30,Support,30,30,0
2024-01-05,18:30,Retention,12,12,0
2024-01-05,19:00,Support,38,37,1
2024-01-05,19:00,Retention,14,13,1
2024-01-05,19:30,Support,41,38,3
2024-01-05,19:30,Retention,14,13,1
2024-01-05,20:00,Support,29,28,1
2024-01-05,20:00,Retention,19,18,1
2024-01-05,20:30,Support,41,40,1
2024-01-05,20:30,Retention,16,16,0
2024-01-06,8:00,Support,37,35,2
2024-01-06,8:00,Retention,17,16,1
2024-01-06,8:30,Support,40,37,3
2024-01-06,8:30,Retention,18,17,1
2024-01-06,9:00,Support,34,33,1
2024-01-06,9:00,Retention,18,18,0
2024-01-06,9:30,Support,28,28,0
2024-01-06,9:30,Retention,25,24,1
2024-01-06,10:00,Support,31,29,2
2024-01-06,10:00,Retention,23,23,0
2024-01-06,10:30,Support,43,40,3
2024-01-06,10:30,Retention,20,19,1
2024-01-06,11:00,Support,34,32,2
2024-01-06,11:00,Retention,8,8,0
2024-01-06,11:30,Support,25,24,1
2024-01-06,11:30,Retention,17,17,0
2024-01-06,12:00,Support,39,37,2
2024-01-06,12:00,Retention,18,17,1
2024-01-06,12:30,Support,39,38,1
2024-01-06,12:30,Retention,15,15,0
2024-01-06,13:00,Support,35,34,1
2024-01-06,13:00,Retention,22,22,0
2024-01-06,13:30,Support,39,36,3
2024-01-06,13:30,Retention,17,16,1
2024-01-06,14:00,Support,41,39,2
2024-01-06,14:00,Retention,19,19,0
2024-01-06,14:30,Support,45,41,4
2024-01-06,14:30,Retention,17,16,1
2024-01-06,15:00,Support,43,40,3
2024-01-06,15:00,Retention,20,19,1
2024-01-06,15:30,Support,30,29,1
2024-01-06,15:30,Retention,26,25,1
2024-01-06,16:00,Support,45,42,3
2024-01-06,16:00,Retention,18,17,1
2024-01-06,16:30,Support,32,31,1
2024-01-06,16:30,Retention,19,19,0
2024-01-06,17:00,Support,25,24,1
2024-01-06,17:00,Retention,21,20,1
2024-01-06,17:30,Support,36,35,1
2024-01-06,17:30,Retention,19,19,0
2024-01-06,18:00,Support,43,40,3
2024-01-06,18:00,Retention,18,17,1
2024-01-06,18:30,Support,40,38,2
2024-01-06,18:30,Retention,17,16,1
2024-01-06,19:00,Support,30,29,1
2024-01-06,19:00,Retention,15,15,0
2024-01-06,19:30,Support,20,19,1
2024-01-06,19:30,Retention,17,16,1
2024-01-06,20:00,Support,40,38,2
2024-01-06,20:00,Retention,18,18,0
2024-01-06,20:30,Support,47,44,3
2024-01-06,20:30,Retention,18,18,0
2024-01-07,8:00,Support,30,28,2
2024-01-07,8:00,Retention,16,15,1
2024-01-07,8:30,Support,33,31,2
2024-01-07,8:30,Retention,13,13,0
2024-01-07,9:00,Support,30,28,2
2024-01-07,9:00,Retention,19,18,1
2024-01-07,9:30,Support,31,29,2
2024-01-07,9:30,Retention,22,21,1
2024-01-07,10:00,Support,25,24,1
2024-01-07,10:00,Retention,15,15,0
2024-01-07,10:30,Support,25,24,1
2024-01-07,10:30,Retention,18,17,1
2024-01-07,11:00,Support,41,38,3
2024-01-07,11:00,Retention,19,18,1
2024-01-07,11:30,Support,41,38,3
2024-01-07,11:30,Retention,23,21,2
2024-01-07,12:00,Support,39,37,2
2024-01-07,12:00,Retention,21,20,1
2024-01-07,12:30,Support,43,40,3
2024-01-07,12:30,Retention,12,12,0
2024-01-07,13:00,Support,28,26,2
2024-01-07,13:00,Retention,18,18,0
2024-01-07,13:30,Support,37,35,2
2024-01-07,13:30,Retention,18,18,0
2024-01-07,14:00,Support,40,37,3
2024-01-07,14:00,Retention,16,15,1
2024-01-07,14:30,Support,38,37,1
2024-01-07,14:30,Retention,21,20,1
2024-01-07,15:00,Support,32,31,1
2024-01-07,15:00,Retention,16,15,1
2024-01-07,15:30,Support,38,37,1
2024-01-07,15:30,Retention,17,16,1
2024-01-07,16:00,Support,38,37,1
2024-01-07,16:00,Retention,20,20,0
2024-01-07,16:30,Support,48,46,2
2024-01-07,16:30,Retention,27,25,2
2024-01-07,17:00,Support,33,30,3
2024-01-07,17:00,Retention,17,17,0
2024-01-07,17:30,Support,29,27,2
2024-01-07,17:30,Retention,16,15,1
2024-01-07,18:00,Support,52,48,4
2024-01-07,18:00,Retention,20,20,0
2024-01-07,18:30,Support,45,42,3
2024-01-07,18:30,Retention,18,18,0
2024-01-07,19:00,Support,38,37,1
2024-01-07,19:00,Retention,18,17,1
2024-01-07,19:30,Support,31,30,1
2024-01-07,19:30,Retention,17,17,0
2024-01-07,20:00,Support,33,31,2
2024-01-07,20:00,Retention,15,14,1
2024-01-07,20:30,Support,40,38,2
2024-01-07,20:30,Retention,12,11,1
2024-01-08,8:00,Support,28,26,2
2024-01-08,8:00,Retention,21,21,0
2024-01-08,8:30,Support,32,31,1
2024-01-08,8:30,Retention,16,16,0
2024-01-08,9:00,Support,33,31,2
2024-01-08,9:00,Retention,20,20,0
2024-01-08,9:30,Support,28,26,2
2024-01-08,9:30,Retention,21,19,2
2024-01-08,10:00,Support,22,21,1
2024-01-08,10:00,Retention,22,21,1
2024-01-08,10:30,Support,25,24,1
2024-01-08,10:30,Retention,22,21,1
2024-01-08,11:00,Support,35,34,1
2024-01-08,11:00,Retention,9,9,0
2024-01-08,11:30,Support,43,39,4
2024-01-08,11:30,Retention,16,15,1
2024-01-08,12:00,Support,38,36,2
2024-01-08,12:00,Retention,21,19,2
2024-01-08,12:30,Support,29,28,1
2024-01-08,12:30,Retention,17,16,1
2024-01-08,13:00,Support,39,37,2
2024-01-08,13:00,Retention,19,18,1
2024-01-08,13:30,Support,35,32,3
2024-01-08,13:30,Retention,17,16,1
2024-01-08,14:00,Support,45,42,3
2024-01-08,14:00,Retention,20,20,0
2024-01-08,14:30,Support,29,27,2
2024-01-08,14:30,Retention,18,17,1
2024-01-08,15:00,Support,34,33,1
2024-01-08,15:00,Retention,19,18,1
2024-01-08,15:30,Support,53,49,4
2024-01-08,15:30,Retention,16,16,0
2024-01-08,16:00,Support,30,29,1
2024-01-08,16:00,Retention,18,17,1
2024-01-08,16:30,Support,34,32,2
2024-01-08,16:30,Retention,21,21,0
2024-01-08,17:00,Support,38,35,3
2024-01-08,17:00,Retention,22,21,1
2024-01-08,17:30,Support,29,28,1
2024-01-08,17:30,Retention,9,9,0
2024-01-08,18:00,Support,20,19,1
2024-01-08,18:00,Retention,26,25,1
2024-01-08,18:30,Support,20,19,1
2024-01-08,18:30,Retention,30,28,2
2024-01-08,19:00,Support,37,35,2
2024-01-08,19:00,Retention,18,17,1
2024-01-08,19:30,Support,27,26,1
2024-01-08,19:30,Retention,21,20,1
2024-01-08,20:00,Support,53,49,4
2024-01-08,20:00,Retention,17,17,0
2024-01-08,20:30,Support,38,35,3
2024-01-08,20:30,Retention,20,19,1
2024-01-09,8:00,Support,43,42,1
2024-01-09,8:00,Retention,26,24,2
2024-01-09,8:30,Support,30,29,1
2024-01-09,8:30,Retention,20,19,1
2024-01-09,9:00,Support,36,33,3
2024-01-09,9:00,Retention,17,16,1
2024-01-09,9:30,Support,41,38,3
2024-01-09,9:30,Retention,17,17,0
2024-01-09,10:00,Support,36,35,1
2024-01-09,10:00,Retention,16,15,1
2024-01-09,10:30,Support,33,32,1
2024-01-09,10:30,Retention,16,16,0
2024-01-09,11:00,Support,37,35,2
2024-01-09,11:00,Retention,17,16,1
2024-01-09,11:30,Support,35,34,1
2024-01-09,11:30,Retention,16,16,0
2024-01-09,12:00,Support,36,34,2
2024-01-09,12:00,Retention,24,22,2
2024-01-09,12:30,Support,32,30,2
2024-01-09,12:30,Retention,15,15,0
2024-01-09,13:00,Support,41,39,2
2024-01-09,13:00,Retention,19,19,0
2024-01-09,13:30,Support,33,32,1
2024-01-09,13:30,Retention,20,19,1
2024-01-09,14:00,Support,39,37,2
2024-01-09,14:00,Retention,18,17,1
2024-01-09,14:30,Support,48,44,4
2024-01-09,14:30,Retention,24,23,1
2024-01-09,15:00,Support,37,34,3
2024-01-09,15:00,Retention,24,23,1
2024-01-09,15:30,Support,40,37,3
2024-01-09,15:30,Retention,17,17,0
2024-01-09,16:00,Support,37,35,2
2024-01-09,16:00,Retention,13,12,1
2024-01-09,16:30,Support,30,30,0
2024-01-09,16:30,Retention,20,19,1
2024-01-09,17:00,Support,30,28,2
2024-01-09,17:00,Retention,12,12,0
2024-01-09,17:30,Support,34,32,2
2024-01-09,17:30,Retention,12,12,0
2024-01-09,18:00,Support,31,30,1
2024-01-09,18:00,Retention,24,23,1
2024-01-09,18:30,Support,30,29,1
2024-01-09,18:30,Retention,18,17,1
2024-01-09,19:00,Support,30,28,2
2024-01-09,19:00,Retention,20,19,1
2024-01-09,19:30,Support,32,29,3
2024-01-09,19:30,Retention,20,19,1
2024-01-09,20:00,Support,34,32,2
2024-01-09,20:00,Retention,28,26,2
2024-01-09,20:30,Support,29,28,1
2024-01-09,20:30,Retention,17,17,0
2024-01-10,8:00,Support,38,35,3
2024-01-10,8:00,Retention,14,14,0
2024-01-10,8:30,Support,36,34,2
2024-01-10,8:30,Retention,20,19,1
2024-01-10,9:00,Support,27,25,2
2024-01-10,9:00,Retention,21,20,1
2024-01-10,9:30,Support,31,30,1
2024-01-10,9:30,Retention,26,25,1
2024-01-10,10:00,Support,33,31,2
2024-01-10,10:00,Retention,18,17,1
2024-01-10,10:30,Support,27,26,1
2024-01-10,10:30,Retention,15,15,0
2024-01-10,11:00,Support,28,27,1
2024-01-10,11:00,Retention,23,21,2
2024-01-10,11:30,Support,45,42,3
2024-01-10,11:30,Retention,22,21,1
2024-01-10,12:00,Support,33,32,1
2024-01-10,12:00,Retention,10,10,0
2024-01-10,12:30,Support,51,49,2
2024-01-10,12:30,Retention,18,18,0
2024-01-10,13:00,Support,37,35,2
2024-01-10,13:00,Retention,20,20,0
2024-01-10,13:30,Support,40,39,1
2024-01-10,13:30,Retention,14,14,0
2024-01-10,14:00,Support,31,29,2
2024-01-10,14:00,Retention,10,10,0
2024-01-10,14:30,Support,41,39,2
2024-01-10,14:30,Retention,20,19,1
2024-01-10,15:00,Support,34,33,1
2024-01-10,15:00,Retention,17,16,1
2024-01-10,15:30,Support,40,38,2
2024-01-10,15:30,Retention,18,18,0
2024-01-10,16:00,Support,40,38,2
2024-01-10,16:00,Retention,14,14,0
2024-01-10,16:30,Support,50,49,1
2024-01-10,16:30,Retention,19,18,1
2024-01-10,17:00,Support,26,25,1
2024-01-10,17:00,Retention,16,15,1
2024-01-10,17:30,Support,33,31,2
2024-01-10,17:30,Retention,16,16,0
2024-01-10,18:00,Support,30,30,0
2024-01-10,18:00,Retention,25,24,1
2024-01-10,18:30,Support,37,36,1
2024-01-10,18:30,Retention,18,17,1
2024-01-10,19:00,Support,35,34,1
2024-01-10,19:00,Retention,11,11,0
2024-01-10,19:30,Support,24,22,2
2024-01-10,19:30,Retention,21,20,1
2024-01-10,20:00,Support,32,30,2
2024-01-10,20:00,Retention,13,13,0
2024-01-10,20:30,Support,38,37,1
2024-01-10,20:30,Retention,30,28,2
2024-01-11,8:00,Support,37,36,1
2024-01-11,8:00,Retention,12,11,1
2024-01-11,8:30,Support,37,36,1
2024-01-11,8:30,Retention,19,18,1
2024-01-11,9:00,Support,41,40,1
2024-01-11,9:00,Retention,16,16,0
2024-01-11,9:30,Support,33,31,2
2024-01-11,9:30,Retention,14,14,0
2024-01-11,10:00,Support,43,41,2
2024-01-11,10:00,Retention,15,15,0
2024-01-11,10:30,Support,42,39,3
2024-01-11,10:30,Retention,20,19,1
2024-01-11,11:00,Support,21,21,0
2024-01-11,11:00,Retention,14,13,1
2024-01-11,11:30,Support,39,37,2
2024-01-11,11:30,Retention,18,17,1
2024-01-11,12:00,Support,38,36,2
2024-01-11,12:00,Retention,21,20,1
2024-01-11,12:30,Support,26,24,2
2024-01-11,12:30,Retention,14,13,1
2024-01-11,13:00,Support,37,35,2
2024-01-11,13:00,Retention,22,22,0
2024-01-11,13:30,Support,40,37,3
2024-01-11,13:30,Retention,16,16,0
2024-01-11,14:00,Support,31,28,3
2024-01-11,14:00,Retention,16,15,1
2024-01-11,14:30,Support,43,41,2
2024-01-11,14:30,Retention,17,17,0
2024-01-11,15:00,Support,37,34,3
2024-01-11,15:00,Retention,11,11,0
2024-01-11,15:30,Support,37,35,2
2024-01-11,15:30,Retention,19,18,1
2024-01-11,16:00,Support,38,37,1
2024-01-11,16:00,Retention,23,23,0
2024-01-11,16:30,Support,23,22,1
2024-01-11,16:30,Retention,18,18,0
2024-01-11,17:00,Support,32,31,1
2024-01-11,17:00,Retention,14,13,1
2024-01-11,17:30,Support,37,35,2
2024-01-11,17:30,Retention,22,21,1
2024-01-11,18:00,Support,42,40,2
2024-01-11,18:00,Retention,19,18,1
2024-01-11,18:30,Support,32,31,1
2024-01-11,18:30,Retention,23,22,1
2024-01-11,19:00,Support,30,28,2
2024-01-11,19:00,Retention,23,22,1
2024-01-11,19:30,Support,34,33,1
2024-01-11,19:30,Retention,11,11,0
2024-01-11,20:00,Support,34,32,2
2024-01-11,20:00,Retention,13,13,0
2024-01-11,20:30,Support,40,37,3
2024-01-11,20:30,Retention,10,10,0
2024-01-12,8:00,Support,31,29,2
2024-01-12,8:00,Retention,15,14,1
2024-01-12,8:30,Support,34,33,1
2024-01-12,8:30,Retention,18,18,0
2024-01-12,9:00,Support,44,42,2
2024-01-12,9:00,Retention,17,16,1
2024-01-12,9:30,Support,47,45,2
2024-01-12,9:30,Retention,15,14,1
2024-01-12,10:00,Support,30,29,1
2024-01-12,10:00,Retention,19,18,1
2024-01-12,10:30,Support,37,36,1
2024-01-12,10:30,Retention,13,13,0
2024-01-12,11:00,Support,42,40,2
2024-01-12,11:00,Retention,21,20,1
2024-01-12,11:30,Support,36,34,2
2024-01-12,11:30,Retention,18,17,1
2024-01-12,12:00,Support,42,40,2
2024-01-12,12:00,Retention,17,16,1
2024-01-12,12:30,Support,23,22,1
2024-01-12,12:30,Retention,17,16,1
2024-01-12,13:00,Support,29,28,1
2024-01-12,13:00,Retention,16,15,1
2024-01-12,13:30,Support,30,28,2
2024-01-12,13:30,Retention,22,22,0
2024-01-12,14:00,Support,34,32,2
2024-01-12,14:00,Retention,18,17,1
2024-01-12,14:30,Support,41,38,3
2024-01-12,14:30,Retention,29,28,1
2024-01-12,15:00,Support,31,29,2
2024-01-12,15:00,Retention,20,19,1
2024-01-12,15:30,Support,45,44,1
2024-01-12,15:30,Retention,16,15,1
2024-01-12,16:00,Support,28,27,1
2024-01-12,16:00,Retention,24,24,0
2024-01-12,16:30,Support,34,33,1
2024-01-12,16:30,Retention,20,20,0
2024-01-12,17:00,Support,43,42,1
2024-01-12,17:00,Retention,18,17,1
2024-01-12,17:30,Support,25,24,1
2024-01-12,17:30,Retention,18,18,0
2024-01-12,18:00,Support,34,32,2
2024-01-12,18:00,Retention,16,15,1
2024-01-12,18:30,Support,32,30,2
2024-01-12,18:30,Retention,23,22,1
2024-01-12,19:00,Support,28,27,1
2024-01-12,19:00,Retention,21,20,1
2024-01-12,19:30,Support,32,30,2
2024-01-12,19:30,Retention,12,12,0
2024-01-12,20:00,Support,38,37,1
2024-01-12,20:00,Retention,23,21,2
2024-01-12,20:30,Support,31,29,2
2024-01-12,20:30,Retention,18,18,0
2024-01-13,8:00,Support,43,40,3
2024-01-13,8:00,Retention,20,19,1
2024-01-13,8:30,Support,38,37,1
2024-01-13,8:30,Retention,17,16,1
2024-01-13,9:00,Support,36,33,3
2024-01-13,9:00,Retention,12,12,0
2024-01-13,9:30,Support,31,30,1
2024-01-13,9:30,Retention,25,23,2
2024-01-13,10:00,Support,39,36,3
2024-01-13,10:00,Retention,15,15,0
2024-01-13,10:30,Support,39,38,1
2024-01-13,10:30,Retention,14,14,0
2024-01-13,11:00,Support,31,30,1
2024-01-13,11:00,Retention,15,15,0
2024-01-13,11:30,Support,44,41,3
2024-01-13,11:30,Retention,19,19,0
2024-01-13,12:00,Support,25,23,2
2024-01-13,12:00,Retention,18,17,1
2024-01-13,12:30,Support,37,36,1
2024-01-13,12:30,Retention,25,23,2
2024-01-13,13:00,Support,43,41,2
2024-01-13,13:00,Retention,17,16,1
2024-01-13,13:30,Support,40,37,3
2024-01-13,13:30,Retention,17,16,1
2024-01-13,14:00,Support,37,36,1
2024-01-13,14:00,Retention,18,17,1
2024-01-13,14:30,Support,35,32,3
2024-01-13,14:30,Retention,19,18,1
2024-01-13,15:00,Support,37,36,1
2024-01-13,15:00,Retention,16,16,0
2024-01-13,15:30,Support,27,25,2
2024-01-13,15:30,Retention,16,16,0
2024-01-13,16:00,Support,37,36,1
2024-01-13,16:00,Retention,18,18,0
2024-01-13,16:30,Support,30,29,1
2024-01-13,16:30,Retention,16,15,1
2024-01-13,17:00,Support,35,32,3
2024-01-13,17:00,Retention,17,16,1
2024-01-13,17:30,Support,27,26,1
2024-01-13,17:30,Retention,24,23,1
2024-01-13,18:00,Support,31,30,1
2024-01-13,18:00,Retention,17,16,1
2024-01-13,18:30,Support,37,34,3
2024-01-13,18:30,Retention,9,9,0
2024-01-13,19:00,Support,37,36,1
2024-01-13,19:00,Retention,16,16,0
2024-01-13,19:30,Support,27,25,2
2024-01-13,19:30,Retention,10,10,0
2024-01-13,20:00,Support,47,44,3
2024-01-13,20:00,Retention,16,16,0
2024-01-13,20:30,Support,37,35,2
2024-01-13,20:30,Retention,10,10,0
2024-01-14,8:00,Support,31,29,2
2024-01-14,8:00,Retention,8,8,0
2024-01-14,8:30,Support,32,30,2
2024-01-14,8:30,Retention,23,22,1
