call_id,agent_id,compliance_score,soft_skills_score,script_adherence,overall_score
C009719,A092,88,68,72,76
C004991,A101,94,83,86,87
C001865,A063,80,93,73,82
C004583,A065,72,96,60,76
C005685,A098,95,97,64,85
C004859,A078,86,77,78,80
C009943,A067,75,78,89,80
C001858,A004,91,66,85,80
C011076,A107,72,81,70,74
C003699,A102,98,80,66,81
C010932,A100,95,80,67,80
C002299,A056,92,88,69,83
C001104,A114,76,91,78,81
C001764,A107,88,70,84,80
C001700,A102,78,79,66,74
C009419,A060,95,79,83,85
C005297,A028,77,85,83,81
C005554,A069,81,70,62,71
C010766,A078,80,99,62,80
C010169,A049,94,96,66,85
C002276,A017,77,94,91,87
C006064,A057,72,96,78,82
C006903,A054,82,71,63,72
C008169,A025,93,91,64,82
C010324,A024,88,82,74,81
C005482,A115,96,89,68,84
C001509,A083,84,95,84,87
C001469,A045,96,72,92,86
C010499,A035,80,68,61,69
C007883,A081,93,71,78,80
C005998,A095,74,68,94,78
C006457,A113,95,80,91,88
C004886,A059,76,79,69,74
C007367,A036,86,77,75,79
C001267,A096,75,96,91,87
C001429,A035,84,84,86,84
C004163,A014,92,80,98,90
C003393,A087,73,95,83,83
C009048,A077,73,79,65,72
C000715,A009,98,69,80,82
C009606,A030,79,95,94,89
C010307,A118,78,85,89,84
C000659,A056,75,74,94,81
C006745,A055,92,80,70,80
C004433,A089,92,92,95,93
C005413,A004,94,69,91,84
C003712,A012,86,89,70,81
C007447,A074,95,95,83,91
C007090,A112,83,78,69,76
C005730,A106,91,96,72,86
C010140,A071,89,81,65,78
C008603,A095,78,74,68,73
C000429,A115,71,94,65,76
C001074,A004,78,72,80,76
C008721,A060,88,89,87,88
C001240,A115,84,95,99,92
C002730,A008,84,93,90,89
C007968,A014,94,84,84,87
C010545,A073,72,93,90,85
C000426,A061,74,92,61,75
C000257,A100,91,97,80,89
C010713,A119,85,92,81,86
C000522,A028,78,70,88,78
C007175,A046,97,78,72,82
C000662,A019,96,98,91,95
C006986,A099,93,97,78,89
C003569,A064,79,88,89,85
C008961,A078,75,77,98,83
C003978,A106,86,86,86,86
C009554,A034,88,90,74,84
C006289,A100,92,72,86,83
C009626,A070,81,82,61,74
C005611,A013,94,86,84,88
C008074,A094,75,66,62,67
C010572,A052,92,68,64,74
C007634,A063,97,79,94,90
C009464,A055,92,79,70,80
C005267,A030,90,87,63,80
C005553,A023,70,79,79,76
C001854,A120,80,94,75,83
C001293,A083,73,82,97,84
C003546,A082,78,68,92,79
C001469,A049,92,90,78,86
C004577,A001,91,90,74,85
C004052,A091,70,73,81,74
C003763,A063,81,90,66,79
C006968,A113,86,81,79,82
C003025,A088,82,71,75,76
C001282,A099,87,78,90,85
C007851,A066,98,83,84,88
C001477,A021,91,97,96,94
C004725,A091,79,78,64,73
C000819,A027,82,93,97,90
C000578,A100,87,97,90,91
C006117,A091,85,80,75,80
C000727,A028,79,72,79,76
C010692,A107,73,97,90,86
C001602,A016,94,78,70,80
C010496,A115,92,98,66,85
C005844,A088,99,72,67,79
C000404,A101,92,71,70,77
C008591,A012,76,84,88,82
C008847,A117,79,66,69,71
C010442,A013,84,67,60,70
C009354,A042,98,75,68,80
C003029,A003,90,96,97,94
C007819,A091,88,86,85,86
C010503,A076,96,83,75,84
C010010,A115,82,72,71,75
C001572,A094,89,92,89,90
C003338,A019,83,72,63,72
C009356,A066,97,88,75,86
C000931,A085,93,68,85,82
C005365,A116,88,83,92,87
C011175,A059,71,76,93,80
C008150,A017,88,93,73,84
C011173,A011,98,74,96,89
C003160,A082,72,86,92,83
C004571,A120,88,84,82,84
C000674,A036,88,80,69,79
C001048,A003,87,89,75,83
C004616,A083,94,74,93,87
C001316,A103,71,84,67,74
C011072,A034,71,76,62,69
C004240,A104,74,94,76,81
C000504,A049,92,93,71,85
C002751,A080,80,77,94,83
C003005,A052,73,77,60,70
C005338,A009,71,87,71,76
C009749,A105,74,76,81,77
C002624,A103,99,96,87,94
C010851,A024,75,80,74,76
C004870,A002,73,97,92,87
C006376,A096,95,75,73,81
C007000,A009,90,99,81,90
C001418,A015,78,92,92,87
C001117,A043,95,68,82,81
C006865,A068,76,66,68,70
C008522,A042,71,72,80,74
C005616,A099,81,67,91,79
C005183,A063,94,87,79,86
C010108,A064,85,96,81,87
C000654,A084,87,76,73,78
C003921,A087,91,84,82,85
C000293,A088,77,83,74,78
C006137,A049,78,70,60,69
C010740,A013,76,73,63,70
C000519,A061,91,83,76,83
C009726,A017,88,84,90,87
C006777,A005,96,66,68,76
C010893,A034,72,85,66,74
C008162,A005,91,70,93,84
C003950,A023,78,97,74,83
C005615,A044,97,92,85,91
C009982,A109,99,67,70,78
C010680,A069,93,88,71,84
C003416,A084,71,77,63,70
C006876,A089,82,76,62,73
C007263,A109,75,80,67,74
C011009,A076,90,94,78,87
C006997,A101,87,90,74,83
C006538,A115,88,65,66,73
C005211,A026,80,75,90,81
C007874,A119,72,70,98,80
C007801,A071,94,94,67,85
C002925,A099,90,87,69,82
C004137,A099,72,98,65,78
C003704,A016,77,67,80,74
C004076,A091,80,84,77,80
C003453,A077,92,68,95,85
C010283,A095,72,69,75,72
C005168,A034,89,77,79,81
C005934,A075,71,66,76,71
C005403,A085,87,78,68,77
C001504,A017,74,83,79,78
C011056,A055,87,66,61,71
C008922,A033,71,70,64,68
C000669,A023,90,88,74,84
C006094,A067,79,71,90,80
C006903,A011,72,86,68,75
C009018,A019,96,93,62,83
C005036,A026,82,65,69,72
C001640,A084,71,69,74,71
C006644,A045,81,81,83,81
C001218,A100,79,96,68,81
C010154,A113,91,86,84,87
C006153,A009,80,95,86,87
C011171,A053,92,89,61,80
C002363,A095,84,95,98,92
C001277,A083,91,83,78,84
C006687,A093,84,92,98,91
C003732,A023,89,70,70,76
C003911,A063,73,78,69,73
C000847,A070,96,98,87,93
C004290,A026,77,94,91,87
C007098,A045,76,80,75,77
C009751,A011,97,97,81,91
C010918,A050,74,79,65,72
C010343,A116,70,96,91,85
C008403,A066,85,82,97,88
C004456,A088,87,72,76,78
C008586,A088,70,70,95,78
C009023,A042,95,76,73,81
C001709,A031,78,75,77,76
C003595,A012,85,65,65,71
C007815,A069,88,96,67,83
C009765,A067,96,98,74,89
C008286,A041,80,91,77,82
C000337,A059,84,86,78,82
C000394,A098,74,81,93,82
C000253,A040,94,94,85,91
C004853,A016,70,93,71,78
C002979,A081,91,76,60,75
C006769,A105,92,96,91,93
C007090,A110,75,74,98,82
C006389,A034,82,71,99,84
C004349,A005,89,65,78,77
C003874,A050,78,85,85,82
C009807,A039,89,71,68,76
C004574,A089,74,75,80,76
C001354,A074,85,92,97,91
C004275,A036,84,70,82,78
C000170,A015,86,78,89,84
C008328,A074,70,75,69,71
C009955,A109,87,78,78,81
C008172,A060,70,96,65,77
C006465,A009,73,68,62,67
C010297,A046,80,90,77,82
C002332,A101,85,79,66,76
C003079,A005,85,84,67,78
C002150,A019,98,67,75,80
C007995,A024,96,98,64,86
C008906,A021,94,76,90,86
C005507,A003,75,75,61,70
C008848,A120,94,96,89,93
C001741,A041,92,84,95,90
C009620,A054,70,99,83,84
C010242,A040,88,74,96,86
C007315,A081,89,74,69,77
C006781,A043,94,95,69,86
C008622,A066,89,67,85,80
C008879,A032,95,89,75,86
C010210,A057,91,66,73,76
C004919,A111,71,96,65,77
C008888,A023,80,66,67,71
C000819,A085,73,67,81,73
C007057,A077,84,77,75,78
C004493,A085,99,68,66,77
C005801,A100,80,82,90,84
C005837,A044,89,68,82,79
C007278,A002,83,93,80,85
C004836,A014,81,88,60,76
C006678,A040,86,72,70,76
C007546,A003,96,92,92,93
C003655,A014,78,88,77,81
C002978,A036,89,75,64,76
C006475,A114,79,86,99,88
C005560,A009,71,72,90,77
C010123,A106,72,94,63,76
C000444,A107,83,89,63,78
C011075,A003,89,97,89,91
C002368,A119,84,69,63,72
C006574,A110,81,81,85,82
C004342,A108,84,86,63,77
C004526,A037,92,95,88,91
C003809,A099,99,88,75,87
C007669,A102,98,74,68,80
C010023,A079,85,75,61,73
C007588,A104,98,86,63,82
C003289,A011,77,72,86,78
C010690,A025,74,98,82,84
C000746,A044,90,74,69,77
C010050,A086,99,76,78,84
C000283,A108,94,69,60,74
C003316,A057,89,93,86,89
C004539,A060,77,81,80,79
C007504,A025,96,71,72,79
C004594,A082,92,80,62,78
C011140,A065,95,95,90,93
C009924,A101,96,98,82,92
C007240,A025,79,91,68,79
C004703,A097,72,89,81,80
C000379,A054,72,65,70,69
C001085,A033,86,82,61,76
C004822,A083,77,79,88,81
C004670,A066,94,79,78,83
C007717,A022,70,67,68,68
C007786,A006,93,96,74,87
C010499,A010,84,65,62,70
C007961,A013,83,82,65,76
C006545,A053,94,89,82,88
C006735,A072,98,97,96,97
C005115,A015,71,93,72,78
C004040,A011,93,66,62,73
C004522,A038,87,89,95,90
C000864,A008,87,78,60,75
C009439,A089,94,81,84,86
C009375,A081,93,70,82,81
C009010,A036,93,86,64,81
C001074,A109,93,72,80,81
C001822,A033,81,91,83,85
C010783,A002,86,85,89,86
C005223,A072,89,76,64,76
C010848,A025,73,81,70,74
C002600,A103,92,85,65,80
C007785,A033,77,90,65,77
C002405,A109,78,96,62,78
C009056,A003,95,80,86,87
C004158,A043,92,91,64,82
C003009,A003,92,84,62,79
C000283,A039,81,73,68,74
C008214,A036,98,99,63,86
C000405,A049,73,89,70,77
C004866,A039,81,75,68,74
C005019,A072,97,77,63,79
C001202,A064,78,80,88,82
C001134,A118,81,81,81,81
C009386,A037,71,79,90,80
C001904,A058,95,77,71,81
C004373,A093,72,69,87,76
C005202,A060,92,71,93,85
C007230,A078,87,66,95,82
C009887,A046,83,82,88,84
C009439,A074,94,75,93,87
C010396,A080,76,97,98,90
C009040,A005,90,81,94,88
C006903,A003,98,92,68,86
C009583,A064,98,97,78,91
C002912,A108,91,80,96,89
C001440,A065,70,96,96,87
C003729,A099,83,88,79,83
C006253,A101,72,86,87,81
C006503,A036,99,80,91,90
C000360,A049,83,87,71,80
C007887,A037,95,93,80,89
C007216,A005,94,81,86,87
C008721,A098,95,74,90,86
C004058,A096,84,74,64,74
C001426,A029,92,86,63,80
C006825,A028,91,99,65,85
C005605,A067,86,77,68,77
C000300,A107,87,72,61,73
C001779,A077,92,90,95,92
C004357,A076,93,99,92,94
C009000,A086,74,65,80,73
C010821,A059,74,93,83,83
C011212,A093,91,80,72,81
C010513,A078,86,91,60,79
C005501,A092,96,70,89,85
C006466,A086,74,81,88,81
C010215,A079,94,89,76,86
C000905,A020,80,89,62,77
C007756,A111,86,82,62,76
C002687,A035,93,83,96,90
C005757,A097,89,78,83,83
C005833,A084,99,78,67,81
C002088,A028,95,99,72,88
C004196,A102,95,71,65,77
C004311,A097,71,91,82,81
C003571,A099,80,70,91,80
C009701,A073,74,82,88,81
C000160,A008,82,65,60,69
C008288,A031,92,82,92,88
C006325,A021,93,68,65,75
C008947,A007,98,86,98,94
C003037,A075,81,67,83,77
C001667,A053,97,96,79,90
C005588,A020,92,88,68,82
C005608,A050,78,93,93,88
C002838,A042,82,65,90,79
C005329,A070,93,91,61,81
C003657,A081,97,84,74,85
C004876,A120,70,84,65,73
C000748,A054,93,94,98,95
C003359,A066,78,65,97,80
C008156,A022,90,91,84,88
C011126,A005,82,88,63,77
C004759,A073,76,68,96,80
C010215,A105,93,89,75,85
C009723,A038,79,80,63,74
C000142,A089,85,78,79,80
C005100,A047,86,74,84,81
C001056,A103,90,74,65,76
C009655,A062,82,92,67,80
C004858,A098,89,69,76,78
C003371,A033,79,73,81,77
C007487,A115,80,96,69,81
C007659,A043,82,74,74,76
C005354,A052,89,76,78,81
C004698,A118,89,66,64,73
C001008,A119,71,81,68,73
C000998,A082,72,65,97,78
C009137,A052,70,94,86,83
C000933,A102,78,79,71,76
C008255,A075,82,93,71,82
C006274,A082,71,70,63,68
C001214,A055,95,81,89,88
C004215,A001,93,90,63,82
C005316,A082,78,90,65,77
C010711,A085,75,79,73,75
C009219,A001,99,99,93,97
C006169,A022,86,66,89,80
C008591,A049,84,67,67,72
C002326,A034,91,75,61,75
C009749,A106,90,85,66,80
C002330,A088,90,77,67,78
C001123,A055,89,79,88,85
C006867,A114,95,92,77,88
C000547,A057,96,67,86,83
C002542,A118,97,75,99,90
C010666,A008,91,76,72,79
C000079,A089,93,85,80,86
C003028,A094,72,90,90,84
C003391,A001,72,78,60,70
C002691,A096,71,67,64,67
C005177,A087,79,91,82,84
C003703,A117,87,69,96,84
C009512,A086,98,92,74,88
C001046,A106,72,85,81,79
C010830,A056,93,67,71,77
C003655,A079,70,99,99,89
C005800,A033,74,89,89,84
C006200,A026,82,68,69,73
C001523,A064,86,79,92,85
C003073,A094,78,71,82,77
C005420,A043,73,79,64,72
C004689,A100,73,82,67,74
C008380,A069,79,66,68,71
C009084,A117,83,98,70,83
C003975,A094,84,94,82,86
C001939,A082,86,68,88,80
C008969,A100,82,69,91,80
C008511,A065,83,74,82,79
C004422,A036,72,83,87,80
C009274,A108,89,96,65,83
C010820,A077,86,80,92,86
C002710,A006,97,87,66,83
C008197,A042,81,77,63,73
C006978,A046,75,65,79,73
C002965,A118,92,69,87,82
C002445,A050,90,80,78,82
C001991,A099,71,84,75,76
C002419,A117,80,86,90,85
C010388,A066,88,92,71,83
C010291,A036,70,74,74,72
C002741,A022,76,68,83,75
C008581,A013,71,71,67,69
C004809,A029,70,87,84,80
C005202,A087,85,81,88,84
C007381,A011,77,87,64,76
C007481,A015,75,93,98,88
C010724,A013,98,78,93,89
C006864,A078,91,73,73,79
C001599,A093,99,71,63,77
C001039,A071,80,86,85,83
C003095,A026,91,97,83,90
C007035,A079,78,80,60,72
C000689,A091,76,78,68,74
C007886,A113,74,90,62,75
C003764,A062,98,87,82,89
C002430,A035,82,96,63,80
C001576,A017,97,82,65,81
C010401,A097,82,73,71,75
C001994,A012,74,85,63,74
C003881,A011,90,85,89,88
C007794,A024,91,65,98,84
C007273,A003,99,82,91,90
C006277,A018,79,68,86,77
C010138,A047,88,95,61,81
C000851,A002,93,67,73,77
C007034,A069,82,78,86,82
C001488,A043,88,65,93,82
C003974,A020,87,90,71,82
C006690,A065,71,87,68,75
C000477,A022,89,99,69,85
C006455,A065,98,89,67,84
C009582,A029,91,82,78,83
C005725,A027,93,76,92,87
C007659,A004,99,91,91,93
C008178,A051,78,74,88,80
C010713,A090,79,86,86,83
C002976,A018,99,84,79,87
C006027,A056,86,70,62,72
C008898,A027,87,77,74,79
C008053,A051,77,97,92,88
C000883,A003,80,81,66,75
C005236,A064,81,84,75,80
C005074,A080,73,82,81,78
C010804,A113,72,73,97,80
C000945,A075,72,92,86,83
C008686,A016,93,66,68,75
C005470,A075,98,96,75,89
C003318,A022,95,65,80,80
C003626,A060,80,95,79,84
C008963,A079,96,68,93,85
C011221,A083,70,67,68,68
C007228,A111,96,76,84,85
C002213,A098,82,77,68,75
C008798,A099,79,96,78,84
C003150,A115,90,82,97,89
C010488,A098,78,94,97,89
C002297,A034,89,96,75,86
C010690,A004,97,95,93,95
C006582,A084,76,70,66,70
C008902,A030,99,66,71,78
C004442,A068,80,91,98,89
C006389,A033,97,97,96,96
C002661,A027,89,70,69,76
C010694,A068,97,99,67,87
C004248,A100,74,77,65,72
C002580,A091,71,82,99,84
C002438,A083,95,69,82,82
C006664,A090,75,93,75,81
C004047,A007,74,67,86,75
C002356,A118,85,81,89,85
C002677,A073,99,78,63,80
C006806,A094,95,88,82,88
C004091,A053,86,95,88,89
C008817,A058,94,93,80,89
C004938,A032,83,80,69,77
C008898,A062,84,77,79,80
C007043,A100,78,86,60,74
C008494,A018,71,91,85,82
C010093,A028,83,97,77,85
C005792,A015,95,71,66,77
C004842,A072,90,77,71,79
C003076,A043,82,91,76,83
C003890,A040,76,89,89,84
C001874,A006,73,81,71,75
C003438,A047,97,97,62,85
C003614,A007,84,69,87,80
C008338,A058,77,78,70,75
C004898,A071,93,72,91,85
C004047,A074,84,81,95,86
C009726,A069,87,78,99,88
C007445,A026,96,67,91,84
C008824,A087,73,68,98,79
C006025,A051,70,68,86,74
C005726,A107,83,73,70,75
C009333,A059,77,69,85,77
C007697,A066,76,83,63,74
C009081,A108,82,74,87,81
C008349,A076,93,89,62,81
C002163,A013,98,96,77,90
C010728,A104,74,86,60,73
C008344,A116,98,90,85,91
C005286,A018,98,85,87,90
C011220,A051,80,85,75,80
C001213,A109,74,96,87,85
C005326,A080,92,81,75,82
C011213,A003,99,90,72,87
C003212,A091,70,99,65,78
C007126,A049,91,80,89,86
C008589,A109,97,93,95,95
C008697,A040,79,67,80,75
C009611,A076,97,69,98,88
C009278,A070,86,66,92,81
C007497,A016,71,88,82,80
C006018,A120,98,98,64,86
C001483,A101,96,95,69,86
C009262,A063,77,85,61,74
C003078,A073,88,66,64,72
C005912,A001,75,88,93,85
C003408,A012,81,70,99,83
C004042,A115,93,72,80,81
C000084,A119,76,74,66,72
C001505,A031,97,95,71,87
C004674,A001,97,94,97,96
C008589,A078,93,67,71,77
C007338,A105,90,72,80,80
C011148,A056,88,67,88,81
C010887,A087,91,83,77,83
C011050,A110,99,93,72,88
C003456,A028,72,99,75,82
C000388,A101,90,91,83,88
C004682,A092,97,84,96,92
C010923,A114,79,77,67,74
C007070,A094,70,86,95,83
C004475,A038,96,80,82,86
C006853,A110,83,92,89,88
C003426,A024,71,70,99,80
C000454,A047,87,77,99,87
C003473,A093,90,66,72,76
C006742,A086,73,71,90,78
C001513,A045,74,68,74,72
C004743,A045,95,68,88,83
C008560,A023,79,87,78,81
C001844,A063,73,88,74,78
C009124,A079,94,83,73,83
C008771,A113,95,71,77,81
C001560,A021,73,88,94,85
C001361,A112,91,87,73,83
C006703,A029,84,89,74,82
C005556,A076,73,78,88,79
C007849,A053,80,93,88,87
C000455,A049,78,85,76,79
C000013,A085,76,79,64,73
C002508,A101,80,71,78,76
C004314,A084,70,71,76,72
C008078,A029,74,75,61,70
C003556,A071,98,74,93,88
C009645,A043,90,89,63,80
C003426,A024,84,67,95,82
C008020,A073,85,95,61,80
C005777,A034,86,70,99,85
C009082,A101,79,66,97,80
C006941,A111,72,92,63,75
C010649,A066,71,90,63,74
C008735,A037,97,88,93,92
C007541,A061,86,83,93,87
C007624,A103,71,99,99,89
C006533,A013,80,65,73,72
C007254,A061,90,69,96,85
C001125,A083,80,97,85,87
C001092,A089,71,86,86,81
C009834,A102,82,76,67,75
C005350,A048,79,89,75,81
C007498,A005,92,84,71,82
C004230,A010,70,79,92,80
C003417,A006,80,97,82,86
C005996,A023,71,93,61,75
C009720,A072,97,98,83,92
C010848,A080,86,87,95,89
C000604,A031,70,79,94,81
C010358,A092,79,67,66,70
C005009,A043,78,92,70,80
C006723,A022,95,68,84,82
C000474,A079,88,83,77,82
C010697,A058,99,90,62,83
C006647,A115,81,78,74,77
C002242,A018,96,70,72,79
C009747,A052,98,70,84,84
C009395,A030,73,83,69,75
C009002,A031,94,74,60,76
C002582,A073,92,92,75,86
C001848,A026,96,74,73,81
C010063,A086,88,75,85,82
C004726,A003,74,68,82,74
C010048,A099,78,96,76,83
C010543,A063,77,98,70,81
C003915,A076,74,94,64,77
C005150,A015,98,81,69,82
C008734,A004,71,82,67,73
C008583,A078,93,79,72,81
C000615,A053,88,70,98,85
C010922,A056,88,74,94,85
C008185,A011,93,81,64,79
C010204,A109,88,96,76,86
C006167,A066,79,94,78,83
C010670,A043,93,84,88,88
C008064,A061,80,93,99,90
C011152,A034,93,73,85,83
C008602,A066,82,65,98,81
C001124,A060,86,81,73,80
C007998,A044,95,67,93,85
C005935,A092,96,67,84,82
C004829,A116,93,70,69,77
C010428,A033,82,90,98,90
C010148,A008,74,95,75,81
C011020,A101,98,99,93,96
C007743,A078,88,85,75,82
C007595,A017,81,97,93,90
C004815,A043,93,78,82,84
C008041,A119,91,80,79,83
C010209,A114,94,86,78,86
C002026,A013,99,98,93,96
C004680,A043,95,89,85,89
C006612,A002,94,74,89,85
C000460,A086,99,86,96,93
C001422,A003,88,73,80,80
C004393,A036,82,70,81,77
C000469,A103,96,71,74,80
C010470,A005,97,78,69,81
C003301,A117,95,98,62,85
C009115,A008,84,97,99,93
C005644,A002,77,73,90,80
C004559,A002,77,71,74,74
C000809,A027,86,70,99,85
C003297,A012,75,78,99,84
C003456,A100,86,73,78,79
C004021,A009,98,91,72,87
C009757,A069,99,97,97,97
C009889,A017,73,96,85,84
C003523,A051,70,82,80,77
C002524,A031,93,93,70,85
C005622,A076,80,89,83,84
C006961,A061,77,79,85,80
C003941,A072,73,68,97,79
C010182,A071,72,75,75,74
C002989,A098,76,97,72,81
C009488,A063,83,79,62,74
C010334,A020,71,65,62,66
C002564,A007,85,89,77,83
C008956,A033,94,84,78,85
C005732,A062,87,68,82,79
C009290,A034,77,80,68,75
C010996,A094,72,97,73,80
C000321,A022,71,99,76,82
C002617,A079,91,84,89,88
C011032,A091,77,76,74,75
C007699,A012,84,75,88,82
C002114,A082,77,88,96,87
C004150,A117,87,83,76,82
C005210,A011,82,84,98,88
C004046,A062,71,71,86,76
C004411,A006,80,72,71,74
C004085,A046,82,67,80,76
C004790,A100,95,85,89,89
C004240,A045,76,73,64,71
C005584,A045,83,85,90,86
C007427,A020,95,65,89,83
C000549,A080,94,71,66,77
C007304,A054,95,66,64,75
C003024,A062,90,88,72,83
C008019,A007,84,68,89,80
C009773,A031,91,75,65,77
C003785,A066,89,77,63,76
C004094,A029,88,84,98,90
C000379,A063,85,66,74,75
C004371,A039,89,77,63,76
C000698,A111,93,74,65,77
C003773,A075,80,97,71,82
C003087,A033,96,95,88,93
C008717,A014,88,89,60,79
C001650,A109,79,85,96,86
C011166,A118,94,77,71,80
C007337,A007,90,97,73,86
C000151,A050,76,89,89,84
C010794,A085,88,72,83,81
C005311,A107,86,67,91,81
C007006,A004,97,76,85,86
C002193,A014,75,74,91,80
C007064,A028,76,91,89,85
C000455,A095,91,84,82,85
C009584,A016,95,75,64,78
C005417,A076,71,83,96,83
C002877,A049,81,84,75,80
C006616,A066,88,88,85,87
C002399,A075,76,84,72,77
C000638,A118,90,88,87,88
C010713,A047,83,70,67,73
C003158,A025,78,97,93,89
C005130,A006,86,82,63,77
C008711,A059,79,74,81,78
C000421,A078,80,68,80,76
C002089,A045,92,79,73,81
C005876,A054,73,83,90,82
C010160,A001,75,81,91,82
C008496,A069,88,94,74,85
C009258,A045,94,80,93,89
C008703,A055,71,76,99,82
C003048,A111,91,80,66,79
C005535,A053,88,98,77,87
C010529,A023,88,87,80,85
C004506,A027,80,96,64,80
C007817,A046,80,88,66,78
C008801,A055,87,80,95,87
C006544,A011,72,87,73,77
C005341,A076,98,90,62,83
C000573,A021,92,69,67,76
C000308,A087,94,74,75,81
C002958,A036,90,68,62,73
C009574,A078,70,70,69,69
C007389,A082,80,88,98,88
C000302,A084,80,91,73,81
C009530,A033,83,73,87,81
C009670,A056,84,89,83,85
C006336,A097,91,86,96,91
C005873,A017,74,85,68,75
C005516,A008,71,69,62,67
C009091,A098,72,69,64,68
C001253,A015,80,99,92,90
C010564,A083,71,85,88,81
C010823,A065,96,66,64,75
C008060,A115,74,81,89,81
C001764,A013,88,76,82,82
C006629,A014,92,90,99,93
C009509,A005,97,80,80,85
C005380,A009,77,68,89,78
C004078,A112,71,80,80,77
C007405,A107,92,80,84,85
C004952,A015,94,95,83,90
C004099,A047,89,66,71,75
C003918,A092,78,90,70,79
C008469,A076,88,99,70,85
C008319,A001,98,66,99,87
C002946,A071,97,70,63,76
C008641,A067,95,74,88,85
C000606,A090,90,84,72,82
C008936,A042,91,87,94,90
C002647,A006,92,87,73,84
C005139,A004,94,70,73,79
C006908,A039,88,93,66,82
C003365,A088,72,98,90,86
C003467,A095,74,67,63,68
C009855,A102,86,84,92,87
C009548,A116,96,78,69,81
C009751,A046,98,66,89,84
C005077,A044,92,81,72,81
C009457,A108,95,79,69,81
C008581,A079,79,84,80,81
C005714,A029,99,69,83,83
C007535,A051,72,74,78,74
C006446,A072,85,85,81,83
C006421,A068,96,88,90,91
C000809,A031,87,97,99,94
C008957,A069,88,71,92,83
C001871,A115,98,88,77,87
C007755,A108,98,65,68,77
C003239,A024,71,75,78,74
C003831,A061,82,98,80,86
C009444,A107,89,65,91,81
C004731,A112,77,94,62,77
C007714,A034,76,68,77,73
C006587,A024,94,85,60,79
C005559,A041,98,90,81,89
C002779,A019,70,75,90,78
