date,agent_id,queue,talk_time_sec,hold_time_sec,acw_time_sec,aht_sec
2024-03-22,A083,Support,370,75,83,528
2024-01-31,A017,Support,415,40,64,519
2024-02-20,A039,Retention,384,58,141,584
2024-03-03,A061,Retention,545,66,74,687
2024-02-21,A029,Retention,515,88,56,660
2024-02-05,A075,Support,434,82,96,612
2024-01-30,A069,Retention,437,72,143,653
2024-02-06,A061,Support,453,57,60,571
2024-03-20,A032,Retention,458,38,92,589
2024-01-19,A020,Support,454,86,105,646
2024-02-23,A072,Support,437,49,74,561
2024-01-30,A082,Retention,515,49,112,677
2024-02-12,A027,Retention,413,45,109,568
2024-01-26,A002,Support,450,38,110,599
2024-02-04,A015,Retention,462,47,63,573
2024-01-21,A088,Retention,447,57,83,589
2024-03-03,A069,Retention,467,55,62,585
2024-03-17,A095,Retention,524,48,138,711
2024-02-04,A092,Retention,512,68,117,699
2024-01-01,A096,Retention,537,47,102,687
2024-01-07,A076,Support,371,75,43,490
2024-02-13,A055,Retention,500,76,92,668
2024-01-14,A066,Retention,472,62,93,629
2024-02-09,A066,Support,453,89,111,654
2024-01-16,A015,Support,352,72,131,556
2024-03-21,A114,Retention,491,46,75,613
2024-03-11,A110,Retention,669,62,100,832
2024-02-08,A014,Retention,446,94,91,633
2024-02-10,A053,Support,469,75,132,677
2024-01-23,A075,Retention,482,70,124,677
2024-01-22,A103,Support,375,24,124,524
2024-02-11,A111,Support,418,46,83,548
2024-01-15,A048,Support,395,91,80,567
2024-03-24,A084,Retention,488,107,91,686
2024-02-09,A059,Support,337,72,47,457
2024-03-24,A052,Support,410,53,62,526
2024-01-15,A077,Support,459,91,83,634
2024-03-14,A022,Retention,513,95,136,745
2024-01-07,A044,Retention,610,21,158,790
2024-02-23,A007,Support,490,26,47,564
2024-03-09,A059,Support,420,50,96,567
2024-03-15,A056,Support,502,78,62,643
2024-01-16,A116,Support,364,74,116,555
2024-02-20,A101,Support,369,78,122,570
2024-02-19,A069,Support,538,46,143,728
2024-01-10,A065,Retention,487,74,117,678
2024-03-21,A037,Retention,581,58,103,744
2024-01-05,A011,Support,487,30,100,619
2024-02-11,A094,Support,378,33,103,514
2024-01-22,A001,Support,482,70,89,642
2024-03-26,A016,Retention,527,48,102,678
2024-01-02,A035,Retention,484,72,64,621
2024-01-27,A076,Support,393,87,88,569
2024-03-28,A083,Retention,529,69,48,647
2024-02-01,A087,Retention,512,123,83,719
2024-01-08,A048,Retention,577,39,76,693
2024-02-10,A091,Support,400,39,99,539
2024-02-05,A032,Retention,517,67,108,694
2024-02-07,A046,Support,394,61,88,545
2024-01-19,A008,Retention,469,100,85,655
2024-01-12,A120,Retention,495,49,29,573
2024-03-01,A033,Retention,528,60,83,672
2024-02-27,A095,Retention,538,20,85,644
2024-03-14,A061,Retention,553,51,73,679
2024-03-24,A112,Support,444,45,102,593
2024-01-15,A111,Support,413,56,86,556
2024-03-15,A046,Retention,569,54,65,688
2024-03-05,A047,Support,446,60,122,628
2024-03-13,A050,Support,394,23,125,542
2024-02-21,A040,Retention,525,83,76,685
2024-01-23,A097,Retention,564,59,65,689
2024-02-26,A058,Retention,464,91,118,675
2024-02-13,A056,Support,367,59,48,475
2024-02-19,A116,Retention,565,33,27,626
2024-03-29,A099,Support,581,41,42,665
2024-02-16,A034,Support,521,48,106,675
2024-03-25,A011,Retention,522,61,60,644
2024-03-02,A081,Support,466,57,104,628
2024-01-22,A080,Retention,518,63,117,700
2024-01-05,A049,Support,460,89,57,606
2024-03-06,A095,Retention,540,63,67,671
2024-02-25,A066,Retention,442,94,165,702
2024-01-05,A080,Support,424,73,109,606
2024-01-09,A024,Retention,536,41,95,674
2024-01-12,A035,Retention,465,57,44,568
2024-01-16,A082,Support,443,42,124,610
2024-02-21,A045,Retention,556,51,167,775
2024-01-26,A033,Retention,516,82,75,673
2024-02-27,A036,Retention,590,34,90,715
2024-03-16,A058,Support,355,53,140,549
2024-01-11,A063,Retention,484,58,128,672
2024-03-21,A045,Retention,478,82,101,662
2024-02-11,A102,Retention,591,68,91,751
2024-01-06,A101,Support,418,1,46,466
2024-02-24,A108,Retention,574,66,89,729
2024-02-06,A096,Support,520,38,90,649
2024-01-02,A019,Retention,517,33,73,624
2024-03-18,A091,Support,469,41,128,639
2024-03-25,A007,Support,478,40,77,597
2024-01-25,A096,Retention,485,0,74,560
2024-03-05,A023,Support,435,55,121,612
2024-03-29,A075,Support,426,53,91,571
2024-01-31,A045,Support,471,66,129,667
2024-03-10,A003,Retention,414,71,89,575
2024-02-14,A033,Support,379,67,102,549
2024-02-09,A064,Retention,524,45,118,688
2024-01-29,A089,Retention,531,64,94,690
2024-01-12,A088,Support,443,35,91,570
2024-01-31,A006,Support,363,51,144,558
2024-02-19,A045,Retention,606,68,70,745
2024-01-30,A089,Support,267,36,119,424
2024-03-12,A095,Support,375,76,96,549
2024-02-19,A060,Retention,549,73,94,717
2024-01-01,A045,Retention,451,45,85,581
2024-01-14,A090,Support,427,17,107,551
2024-02-21,A084,Retention,623,53,88,764
2024-03-21,A038,Retention,576,79,99,755
2024-01-05,A060,Retention,417,23,138,579
2024-01-17,A119,Support,317,34,113,465
2024-02-05,A083,Retention,571,36,100,708
2024-01-06,A019,Retention,508,66,85,660
2024-01-21,A106,Support,364,86,97,548
2024-02-04,A006,Support,497,44,93,635
2024-03-23,A035,Retention,473,44,61,578
2024-02-16,A104,Retention,489,48,125,662
2024-02-05,A070,Support,417,69,97,584
2024-02-22,A025,Support,409,66,51,526
2024-02-15,A002,Retention,532,103,86,722
2024-03-18,A058,Retention,457,79,107,645
2024-03-28,A096,Support,398,58,101,558
2024-02-18,A111,Retention,641,46,72,760
2024-01-18,A067,Support,467,77,70,615
2024-02-05,A051,Retention,491,38,53,583
2024-02-09,A091,Retention,561,32,80,674
2024-01-16,A057,Retention,562,68,84,715
2024-03-28,A004,Support,320,66,116,503
2024-03-26,A111,Retention,534,28,89,652
2024-02-19,A022,Retention,445,44,75,565
2024-02-21,A083,Support,431,79,55,565
2024-01-07,A076,Support,524,79,62,666
2024-03-14,A035,Retention,496,59,103,658
2024-02-23,A110,Retention,488,102,82,673
2024-03-20,A107,Retention,557,55,68,681
2024-03-28,A009,Retention,585,66,94,747
2024-02-02,A103,Retention,565,62,138,767
2024-02-20,A047,Retention,442,56,72,572
2024-03-15,A094,Retention,504,47,113,665
2024-02-27,A021,Support,408,39,65,513
2024-01-20,A021,Retention,486,35,71,593
2024-02-25,A075,Retention,569,45,115,730
2024-03-21,A105,Support,483,53,93,630
2024-01-19,A026,Retention,618,82,112,812
2024-03-09,A084,Retention,538,47,103,689
2024-03-27,A110,Support,437,24,144,606
2024-03-06,A002,Retention,573,98,58,730
2024-01-02,A116,Retention,590,42,68,701
2024-03-04,A033,Support,505,63,80,649
2024-03-14,A092,Support,487,62,76,626
2024-03-09,A118,Support,347,56,123,528
2024-01-24,A104,Retention,568,36,86,691
2024-01-25,A039,Support,347,59,71,478
2024-01-16,A107,Support,404,88,62,554
2024-03-09,A098,Retention,600,72,118,791
2024-03-28,A034,Retention,586,56,90,732
2024-01-23,A051,Support,430,58,61,550
2024-03-28,A063,Retention,497,71,111,680
2024-01-07,A052,Retention,500,74,88,664
2024-03-23,A066,Support,376,69,96,542
2024-03-26,A085,Retention,549,75,160,785
2024-02-26,A041,Retention,528,50,92,672
2024-02-25,A103,Retention,570,84,120,775
2024-03-02,A076,Support,427,68,85,581
2024-03-01,A084,Retention,476,113,98,688
2024-03-09,A119,Retention,434,90,105,630
2024-02-17,A078,Support,494,46,139,680
2024-02-09,A073,Support,382,66,122,571
2024-01-27,A037,Retention,380,54,89,524
2024-03-07,A105,Retention,410,55,110,575
2024-01-21,A059,Support,358,64,109,532
2024-02-06,A112,Support,296,21,85,403
2024-01-29,A051,Support,428,44,134,607
2024-02-09,A018,Retention,433,45,108,586
2024-02-28,A113,Support,321,62,85,468
2024-01-06,A070,Support,368,96,122,586
2024-03-27,A108,Retention,452,50,142,646
2024-03-19,A104,Support,404,42,113,560
2024-03-12,A063,Support,452,67,81,601
2024-03-06,A038,Support,444,44,80,569
2024-01-13,A037,Support,411,49,61,522
2024-01-19,A066,Retention,591,59,79,730
2024-03-02,A069,Support,389,41,141,572
2024-01-26,A049,Support,387,46,141,575
2024-02-14,A085,Support,453,72,71,597
2024-03-08,A020,Support,531,38,98,668
2024-02-05,A113,Support,458,95,128,682
2024-02-15,A073,Retention,503,62,89,654
2024-01-21,A091,Retention,607,37,68,712
2024-01-29,A104,Support,373,75,113,562
2024-01-19,A108,Retention,642,49,56,748
2024-03-16,A093,Support,388,49,55,493
2024-02-19,A076,Support,484,71,72,628
2024-03-10,A095,Support,390,41,132,564
2024-03-25,A028,Retention,440,50,57,549
2024-02-06,A057,Support,505,73,71,650
2024-01-28,A100,Retention,479,53,60,593
2024-01-13,A065,Retention,583,33,82,700
2024-01-02,A013,Retention,578,34,94,706
2024-01-30,A043,Support,365,71,87,525
2024-01-11,A039,Support,496,57,121,674
2024-03-11,A069,Retention,474,59,92,626
2024-03-09,A095,Support,506,64,95,667
2024-01-08,A111,Retention,647,53,80,781
2024-03-07,A070,Support,487,84,77,649
2024-02-08,A110,Retention,463,46,90,599
2024-02-02,A066,Retention,483,61,26,571
2024-01-30,A095,Retention,470,64,72,607
2024-03-28,A071,Support,464,86,76,627
2024-01-25,A006,Retention,494,79,92,666
2024-03-08,A005,Retention,466,32,86,585
2024-03-02,A008,Retention,588,50,71,710
2024-02-13,A101,Retention,480,47,105,634
2024-02-05,A096,Retention,539,81,51,672
2024-02-07,A064,Retention,401,35,74,512
2024-02-14,A054,Support,343,78,107,530
2024-01-09,A049,Support,490,60,113,664
2024-02-02,A108,Retention,563,70,80,714
2024-02-14,A045,Support,535,51,104,690
2024-03-17,A013,Retention,529,101,83,713
2024-01-17,A031,Retention,501,46,55,603
2024-03-28,A057,Support,345,97,122,565
2024-02-13,A047,Retention,539,83,126,749
2024-02-07,A012,Retention,600,60,106,767
2024-02-01,A053,Retention,475,78,30,584
2024-01-21,A001,Support,419,55,44,519
2024-03-23,A028,Retention,467,38,109,615
2024-01-03,A104,Retention,627,64,123,815
2024-01-13,A032,Support,393,79,83,556
2024-02-29,A068,Support,563,55,130,749
2024-02-02,A017,Support,453,50,65,569
2024-01-24,A040,Retention,528,67,83,678
2024-03-25,A019,Support,333,31,113,478
2024-03-03,A103,Retention,571,58,64,694
2024-03-04,A082,Support,351,55,68,474
2024-02-22,A035,Support,446,73,80,600
2024-03-10,A034,Retention,635,73,73,783
2024-03-15,A019,Support,381,84,57,523
2024-03-12,A020,Retention,466,37,68,573
2024-03-15,A009,Retention,494,93,127,715
2024-01-07,A004,Retention,619,98,109,827
2024-03-23,A081,Retention,431,82,108,622
2024-01-29,A014,Retention,485,41,82,609
2024-02-01,A053,Support,510,35,115,661
2024-03-14,A062,Retention,543,44,131,719
2024-01-09,A103,Retention,474,50,49,574
2024-02-15,A084,Retention,509,43,34,587
2024-02-12,A062,Retention,654,53,129,838
2024-03-12,A106,Retention,477,36,83,597
2024-03-24,A036,Support,388,67,101,556
2024-03-25,A019,Support,425,32,80,538
2024-02-16,A086,Support,426,84,60,572
2024-03-16,A055,Retention,462,37,83,583
2024-02-18,A056,Retention,538,84,55,679
2024-03-10,A071,Retention,484,45,77,606
2024-03-05,A022,Support,434,94,115,643
2024-01-13,A088,Retention,576,77,91,745
2024-02-08,A048,Support,515,76,114,706
2024-02-12,A104,Retention,493,42,102,638
2024-02-22,A086,Retention,479,112,91,684
2024-01-13,A077,Support,352,36,70,458
2024-02-23,A085,Retention,540,25,85,651
2024-01-12,A104,Support,375,71,76,523
2024-03-11,A016,Support,383,21,105,510
2024-03-01,A008,Support,364,35,61,461
2024-03-09,A004,Support,426,55,89,571
2024-03-21,A023,Support,468,61,103,633
2024-03-02,A114,Support,341,57,164,564
2024-03-26,A091,Support,450,33,60,544
2024-03-16,A071,Support,542,49,99,691
2024-01-30,A008,Support,444,64,122,631
2024-01-26,A046,Retention,467,81,64,614
2024-03-18,A036,Retention,529,102,131,764
2024-02-19,A036,Retention,480,60,40,582
2024-03-05,A007,Support,395,69,120,585
2024-01-21,A035,Support,475,81,101,658
2024-03-19,A109,Support,428,36,92,557
2024-01-25,A002,Retention,593,62,58,714
2024-03-21,A048,Retention,548,48,121,718
2024-01-06,A081,Support,343,66,76,486
2024-01-07,A075,Retention,488,69,113,671
2024-01-29,A047,Retention,607,65,94,768
2024-01-22,A051,Support,279,43,77,401
2024-01-17,A091,Retention,571,79,77,729
2024-01-26,A086,Retention,589,45,105,740
2024-03-07,A031,Retention,501,70,116,688
2024-02-25,A059,Support,393,52,49,495
2024-03-02,A093,Support,347,74,114,535
2024-01-02,A019,Support,412,56,126,594
2024-02-19,A100,Support,420,94,77,592
2024-03-20,A100,Retention,593,72,138,804
2024-03-21,A116,Retention,508,38,76,623
2024-01-24,A049,Retention,469,64,92,626
2024-01-29,A087,Support,489,95,118,703
2024-02-17,A088,Support,455,42,123,620
2024-02-17,A048,Support,383,24,110,518
2024-03-28,A077,Support,485,57,76,618
2024-02-11,A075,Support,363,86,83,532
2024-03-16,A072,Support,418,64,131,614
2024-03-25,A017,Retention,548,58,63,670
2024-01-18,A018,Support,420,68,81,571
2024-02-25,A047,Retention,593,66,117,777
2024-03-26,A011,Retention,683,51,36,771
2024-03-13,A062,Retention,415,51,38,505
2024-01-14,A115,Retention,489,100,48,638
2024-03-08,A106,Support,374,82,59,516
2024-01-21,A093,Support,473,61,86,622
2024-01-15,A007,Retention,491,75,67,635
2024-03-27,A046,Support,537,76,100,714
2024-03-25,A012,Support,447,77,125,650
2024-03-08,A042,Support,498,49,69,616
2024-01-12,A084,Support,312,68,87,468
2024-02-09,A105,Retention,485,46,78,610
2024-03-10,A034,Support,416,95,52,564
2024-02-09,A018,Support,365,86,92,544
2024-03-14,A058,Retention,522,111,102,736
2024-01-28,A078,Retention,611,52,105,769
2024-03-22,A083,Support,479,59,114,653
2024-02-04,A089,Retention,485,74,146,706
2024-01-11,A065,Retention,469,87,120,676
2024-02-27,A090,Support,418,87,89,595
2024-01-09,A108,Support,429,85,66,582
2024-03-07,A103,Retention,439,95,89,624
2024-03-11,A044,Retention,569,64,100,734
2024-02-20,A019,Retention,634,48,84,767
2024-01-28,A028,Retention,469,87,129,686
2024-01-10,A087,Retention,438,56,75,571
2024-02-02,A098,Retention,676,85,81,843
2024-03-19,A050,Retention,574,51,120,747
2024-03-19,A102,Support,466,53,87,607
2024-03-24,A116,Support,434,47,62,544
2024-03-02,A086,Retention,471,35,118,624
2024-03-04,A075,Retention,501,41,127,670
2024-02-03,A109,Support,498,42,88,630
2024-02-06,A111,Support,491,61,69,622
2024-01-02,A011,Retention,433,53,136,623
2024-03-11,A032,Retention,546,37,49,634
2024-01-24,A066,Retention,573,40,83,696
2024-01-04,A112,Support,461,62,129,653
2024-03-25,A004,Retention,451,61,112,625
2024-01-06,A059,Retention,495,103,52,651
2024-01-29,A120,Retention,482,39,74,596
2024-02-24,A032,Retention,533,61,63,658
2024-02-21,A094,Retention,575,92,103,772
2024-03-11,A003,Retention,533,74,71,678
2024-01-17,A004,Retention,515,52,51,620
2024-02-08,A099,Support,482,83,16,581
2024-03-21,A074,Retention,502,91,91,684
2024-03-30,A090,Retention,523,76,114,714
2024-01-01,A092,Support,448,52,75,576
2024-02-21,A085,Support,483,35,86,605
2024-01-18,A076,Retention,539,66,55,661
2024-03-15,A060,Retention,530,58,45,635
2024-01-28,A103,Retention,495,11,90,597
2024-01-31,A104,Support,386,16,65,469
2024-03-26,A102,Retention,485,70,118,675
2024-03-03,A050,Retention,561,63,99,724
2024-01-03,A106,Support,417,33,134,586
2024-02-12,A101,Retention,683,100,44,828
2024-02-17,A045,Retention,559,72,145,777
2024-02-02,A018,Support,463,59,155,678
2024-02-17,A053,Retention,581,48,99,729
2024-02-12,A113,Support,396,68,73,538
2024-02-09,A109,Retention,528,46,152,728
2024-03-02,A081,Support,375,52,111,538
2024-02-18,A024,Support,386,73,114,574
2024-03-18,A010,Support,473,41,79,594
2024-03-17,A036,Retention,626,67,143,837
2024-02-27,A107,Support,335,26,132,494
2024-01-21,A091,Retention,556,33,99,689
2024-01-05,A072,Support,519,68,103,691
2024-01-10,A037,Support,482,49,60,592
2024-02-05,A094,Retention,613,68,108,790
2024-02-08,A027,Support,460,61,70,592
2024-02-01,A083,Retention,491,96,94,682
2024-02-25,A005,Support,501,86,45,633
2024-02-12,A018,Support,413,52,103,568
2024-02-03,A004,Support,455,-12,152,595
2024-01-31,A098,Retention,569,79,80,729
2024-03-20,A101,Retention,577,64,104,746
2024-01-07,A088,Retention,529,102,62,694
2024-03-28,A077,Support,491,26,63,581
2024-02-27,A010,Support,476,52,82,611
2024-03-28,A025,Support,361,75,126,563
2024-03-26,A112,Support,356,16,93,466
2024-01-31,A112,Retention,567,72,79,719
2024-02-18,A027,Support,503,77,109,690
2024-01-27,A079,Support,496,46,111,654
2024-01-30,A105,Retention,549,69,171,789
2024-02-02,A010,Support,415,43,138,597
2024-02-03,A033,Support,472,42,33,548
2024-02-12,A018,Support,450,93,76,620
2024-02-15,A057,Support,438,58,106,603
2024-01-07,A116,Support,418,64,69,552
2024-03-25,A077,Retention,472,61,75,609
2024-01-30,A073,Retention,504,60,41,606
2024-03-21,A102,Support,482,97,126,705
2024-01-30,A109,Retention,516,57,106,681
2024-02-25,A120,Retention,625,76,125,827
2024-03-13,A079,Retention,497,53,110,661
2024-03-04,A023,Retention,547,73,59,680
2024-02-01,A091,Support,496,58,88,643
2024-02-05,A060,Support,322,55,17,395
2024-02-07,A041,Support,434,56,91,581
2024-03-08,A055,Retention,525,64,55,644
2024-03-11,A036,Retention,450,52,98,601
2024-03-28,A106,Retention,494,61,97,653
2024-02-15,A012,Support,379,59,143,583
2024-03-05,A013,Support,376,77,76,530
2024-03-26,A010,Retention,473,45,73,592
2024-02-15,A046,Support,454,15,40,510
2024-01-20,A005,Support,384,59,107,551
2024-03-07,A092,Retention,334,51,89,474
2024-02-04,A106,Retention,508,47,32,588
2024-01-10,A107,Retention,574,53,75,702
2024-02-26,A119,Retention,485,104,91,681
2024-02-05,A028,Retention,564,57,48,670
2024-01-06,A066,Support,425,40,151,617
2024-03-27,A074,Support,398,55,124,578
2024-02-24,A051,Support,378,83,90,552
2024-03-25,A065,Support,325,27,64,417
2024-02-12,A066,Support,407,58,75,542
2024-03-29,A069,Support,463,51,65,580
2024-02-03,A114,Retention,498,65,56,620
2024-01-08,A092,Retention,468,26,102,597
2024-01-29,A078,Retention,503,35,134,672
2024-02-07,A012,Support,430,62,39,532
2024-01-31,A052,Retention,541,87,136,765
2024-01-04,A017,Support,463,66,66,595
2024-03-01,A044,Support,522,62,73,659
2024-03-15,A077,Support,425,75,70,572
2024-03-03,A030,Retention,558,60,70,689
2024-02-08,A009,Retention,464,45,93,604
2024-01-11,A003,Support,465,33,145,643
2024-01-26,A076,Support,378,68,109,556
2024-01-13,A104,Retention,546,98,68,713
2024-03-06,A051,Support,369,53,80,504
2024-01-04,A089,Support,398,95,87,581
2024-03-09,A118,Retention,559,42,120,721
2024-01-27,A020,Retention,450,44,93,588
2024-03-14,A105,Retention,515,96,93,704
2024-01-31,A055,Retention,619,90,103,813
2024-03-12,A076,Retention,528,78,38,646
2024-02-06,A032,Support,436,78,122,637
2024-01-31,A075,Support,430,69,39,540
2024-01-11,A001,Support,422,90,61,574
2024-02-25,A059,Support,449,27,86,563
2024-01-05,A040,Support,435,29,113,577
2024-02-10,A106,Retention,510,35,70,616
2024-01-28,A003,Support,475,42,72,590
2024-01-31,A090,Retention,568,87,89,745
2024-03-29,A076,Support,421,34,101,556
2024-02-25,A098,Support,350,38,122,511
2024-02-21,A043,Retention,404,65,125,596
2024-03-18,A049,Support,301,34,49,386
2024-01-10,A099,Support,375,58,122,556
2024-01-29,A076,Support,519,86,58,663
2024-03-18,A086,Retention,515,39,70,626
2024-02-06,A100,Retention,441,68,142,653
2024-03-20,A118,Retention,481,52,81,615
2024-01-01,A112,Support,461,63,90,615
2024-01-31,A086,Retention,464,62,90,617
2024-03-09,A119,Retention,615,46,107,769
2024-03-03,A045,Retention,450,47,78,576
2024-03-26,A056,Support,487,29,88,604
2024-01-23,A078,Retention,541,67,125,733
2024-01-28,A069,Retention,514,39,95,649
2024-03-10,A021,Retention,433,80,82,596
2024-02-10,A053,Retention,488,46,132,667
2024-01-25,A095,Support,409,2,86,498
2024-02-04,A109,Retention,492,6,45,544
2024-01-13,A113,Support,453,72,23,549
2024-01-08,A053,Support,336,37,95,469
2024-03-16,A110,Support,370,39,46,456
2024-03-25,A062,Support,401,71,57,530
2024-01-26,A054,Support,331,46,128,507
2024-02-01,A088,Support,493,54,97,646
2024-02-16,A002,Support,404,72,98,575
2024-03-13,A099,Support,333,75,91,500
2024-03-21,A116,Retention,499,75,98,672
2024-01-12,A039,Support,401,54,163,619
2024-03-09,A055,Support,458,67,80,606
2024-01-16,A110,Support,423,57,41,523
2024-03-06,A117,Retention,522,57,90,671
2024-03-09,A089,Support,432,50,42,526
2024-01-23,A120,Support,396,82,74,553
2024-03-03,A030,Support,478,58,60,597
2024-01-02,A078,Support,514,69,84,668
2024-03-07,A077,Support,439,25,91,556
2024-03-03,A059,Support,345,84,105,535
2024-02-14,A067,Retention,550,67,86,704
2024-02-15,A018,Support,422,31,72,527
2024-01-07,A055,Support,394,53,114,562
2024-01-12,A111,Retention,412,79,117,609
